Number,RW Name,Image,Thoth Name,Elemental,Element01,Element02,Colour,Astro,Planets,Signs,Gemstone,Herbs,Elder Futhark Runes,"Hebrew
Letter:","Meaning of
Letter Name:",Numerology,Numerology Key Words,keywords/0,keywords/1,keywords/2,keywords/3,Mythical/Spiritual
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Earth.,,,,,,,,,,,,,,,,
,,,,,,Air of Earth.,,,,,,,,,,,,,,,,
,,,,,,Water of Earth.,,,,,,,,,,,,,,,,
,,,,,,Fire of Earth.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Elemental,,,,,,,,,,Numerology,,,,,,
,,,,,,Air,,,,,,,,,,0 (off the scale; pure potential),,,,,,
,,,,,,The Sun/Mercury,,,,,,,,,,"1 (origins, unity, seeds)",,,,,,
,,,,,,The Moon,,,,,,,,,,"2 (division, debate, duality)",,,,,,
,,,,,,Venus,,,,,,,,,,"3 (expression, productivity, output)",,,,,,
,,,,,,Mars/Aries,,,,,,,,,,"4 (stability, equality, persistence)",,,,,,
,,,,,,Taurus/Earth,,,,,,,,,,"5 (instability, resistance, confrontation, evolution)",,,,,,
,,,,,,Gemini,,,,,,,,,,"6 (cooperation, collaboration, interaction)",,,,,,
,,,,,,Cancer,,,,,,,,,,"7 (imagination, inner work, psychology)",,,,,,
,,,,,,Libra or Leo,,,,,,,,,,"8 (movement, work) or 11 = 1 + 1 = 2 (debate, duality)",,,,,,
,,,,,,Virgo,,,,,,,,,,"9 (fullness, readiness, ripeness)",,,,,,
,,,,,,Jupiter,,,,,,,,,,"10 (finality, completion) and 10 = 1 + 0 = 1 (seed, opportunity)",,,,,,
,,,,,,Leo or Libra,,,,,,,,,,"11 = 1 + 1 = 2 (debate, duality) or 8 (movement, outer work)",,,,,,
,,,,,,Water,,,,,,,,,,"12 = 1 + 2 = 3 (expression, productivity, output)",,,,,,
,,,,,,Scorpio,,,,,,,,,,"13 = 1 + 3 = 4 (stability, persistence)",,,,,,
,,,,,,Sagittarius,,,,,,,,,,"14 = 1 + 4 = 5 (catalyst, instability, confrontation)",,,,,,
,,,,,,Capricorn,,,,,,,,,,"15 = 1 + 5 = 6 (adjustment, collaboration)",,,,,,
,,,,,,Mars,,,,,,,,,,"16 = 1 + 6 = 7 (psychology, imagination, inner work)",,,,,,
,,,,,,Aquarius,,,,,,,,,,"17 = 1 + 7 = 8 (action, movement, swiftness)",,,,,,
,,,,,,Pisces,,,,,,,,,,"18 = 1 + 8 = 9 (fullness, readiness, ripeness)",,,,,,
,,,,,,The Sun,,,,,,,,,,"19 = 1 + 9 = 10 (completion, exhaustion) 1 + 0 = 1 (starting point, opportunity)",,,,,,
,,,,,,Fire,,,,,,,,,,"20 = 2 + 0 = 2 (division, duality)",,,,,,
,,,,,,Saturn,,,,,,,,,,"21 = 2 + 1 = 3 (expression, result)",,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Water.,,,,,,,,,,,,,,,,
,,,,,,Air of Water.,,,,,,,,,,,,,,,,
,,,,,,Water of Water.,,,,,,,,,,,,,,,,
,,,,,,Fire of Water.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Air.,,,,,,,,,,,,,,,,
,,,,,,Air of Air.,,,,,,,,,,,,,,,,
,,,,,,Water of Air.,,,,,,,,,,,,,,,,
,,,,,,Fire of Air.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: division, debate, duality)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Fire.,,,,,,,,,,,,,,,,
,,,,,,Air of Fire.,,,,,,,,,,,,,,,,
,,,,,,Water of Fire.,,,,,,,,,,,,,,,,
,,,,,,Fire of Fire,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Earth.,,,,,,,,,,,,,,,,
,,,,,,Air of Earth.,,,,,,,,,,,,,,,,
,,,,,,Water of Earth.,,,,,,,,,,,,,,,,
,,,,,,Fire of Earth.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Elemental,,,,,,,,,,Numerology,,,,,,
,,,,,,Air,,,,,,,,,,0 (off the scale; pure potential),,,,,,
,,,,,,The Sun/Mercury,,,,,,,,,,"1 (origins, unity, seeds)",,,,,,
,,,,,,The Moon,,,,,,,,,,"2 (division, debate, duality)",,,,,,
,,,,,,Venus,,,,,,,,,,"3 (expression, productivity, output)",,,,,,
,,,,,,Mars/Aries,,,,,,,,,,"4 (stability, equality, persistence)",,,,,,
,,,,,,Taurus/Earth,,,,,,,,,,"5 (instability, resistance, confrontation, evolution)",,,,,,
,,,,,,Gemini,,,,,,,,,,"6 (cooperation, collaboration, interaction)",,,,,,
,,,,,,Cancer,,,,,,,,,,"7 (imagination, inner work, psychology)",,,,,,
,,,,,,Libra or Leo,,,,,,,,,,"8 (movement, work) or 11 = 1 + 1 = 2 (debate, duality)",,,,,,
,,,,,,Virgo,,,,,,,,,,"9 (fullness, readiness, ripeness)",,,,,,
,,,,,,Jupiter,,,,,,,,,,"10 (finality, completion) and 10 = 1 + 0 = 1 (seed, opportunity)",,,,,,
,,,,,,Leo or Libra,,,,,,,,,,"11 = 1 + 1 = 2 (debate, duality) or 8 (movement, outer work)",,,,,,
,,,,,,Water,,,,,,,,,,"12 = 1 + 2 = 3 (expression, productivity, output)",,,,,,
,,,,,,Scorpio,,,,,,,,,,"13 = 1 + 3 = 4 (stability, persistence)",,,,,,
,,,,,,Sagittarius,,,,,,,,,,"14 = 1 + 4 = 5 (catalyst, instability, confrontation)",,,,,,
,,,,,,Capricorn,,,,,,,,,,"15 = 1 + 5 = 6 (adjustment, collaboration)",,,,,,
,,,,,,Mars,,,,,,,,,,"16 = 1 + 6 = 7 (psychology, imagination, inner work)",,,,,,
,,,,,,Aquarius,,,,,,,,,,"17 = 1 + 7 = 8 (action, movement, swiftness)",,,,,,
,,,,,,Pisces,,,,,,,,,,"18 = 1 + 8 = 9 (fullness, readiness, ripeness)",,,,,,
,,,,,,The Sun,,,,,,,,,,"19 = 1 + 9 = 10 (completion, exhaustion) 1 + 0 = 1 (starting point, opportunity)",,,,,,
,,,,,,Fire,,,,,,,,,,"20 = 2 + 0 = 2 (division, duality)",,,,,,
,,,,,,Saturn,,,,,,,,,,"21 = 2 + 1 = 3 (expression, result)",,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Water.,,,,,,,,,,,,,,,,
,,,,,,Air of Water.,,,,,,,,,,,,,,,,
,,,,,,Water of Water.,,,,,,,,,,,,,,,,
,,,,,,Fire of Water.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Air.,,,,,,,,,,,,,,,,
,,,,,,Air of Air.,,,,,,,,,,,,,,,,
,,,,,,Water of Air.,,,,,,,,,,,,,,,,
,,,,,,Fire of Air.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: division, debate, duality)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Fire.,,,,,,,,,,,,,,,,
,,,,,,Air of Fire.,,,,,,,,,,,,,,,,
,,,,,,Water of Fire.,,,,,,,,,,,,,,,,
,,,,,,Fire of Fire,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Earth.,,,,,,,,,,,,,,,,
,,,,,,Air of Earth.,,,,,,,,,,,,,,,,
,,,,,,Water of Earth.,,,,,,,,,,,,,,,,
,,,,,,Fire of Earth.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Elemental,,,,,,,,,,Numerology,,,,,,
,,,,,,Air,,,,,,,,,,0 (off the scale; pure potential),,,,,,
,,,,,,The Sun/Mercury,,,,,,,,,,"1 (origins, unity, seeds)",,,,,,
,,,,,,The Moon,,,,,,,,,,"2 (division, debate, duality)",,,,,,
,,,,,,Venus,,,,,,,,,,"3 (expression, productivity, output)",,,,,,
,,,,,,Mars/Aries,,,,,,,,,,"4 (stability, equality, persistence)",,,,,,
,,,,,,Taurus/Earth,,,,,,,,,,"5 (instability, resistance, confrontation, evolution)",,,,,,
,,,,,,Gemini,,,,,,,,,,"6 (cooperation, collaboration, interaction)",,,,,,
,,,,,,Cancer,,,,,,,,,,"7 (imagination, inner work, psychology)",,,,,,
,,,,,,Libra or Leo,,,,,,,,,,"8 (movement, work) or 11 = 1 + 1 = 2 (debate, duality)",,,,,,
,,,,,,Virgo,,,,,,,,,,"9 (fullness, readiness, ripeness)",,,,,,
,,,,,,Jupiter,,,,,,,,,,"10 (finality, completion) and 10 = 1 + 0 = 1 (seed, opportunity)",,,,,,
,,,,,,Leo or Libra,,,,,,,,,,"11 = 1 + 1 = 2 (debate, duality) or 8 (movement, outer work)",,,,,,
,,,,,,Water,,,,,,,,,,"12 = 1 + 2 = 3 (expression, productivity, output)",,,,,,
,,,,,,Scorpio,,,,,,,,,,"13 = 1 + 3 = 4 (stability, persistence)",,,,,,
,,,,,,Sagittarius,,,,,,,,,,"14 = 1 + 4 = 5 (catalyst, instability, confrontation)",,,,,,
,,,,,,Capricorn,,,,,,,,,,"15 = 1 + 5 = 6 (adjustment, collaboration)",,,,,,
,,,,,,Mars,,,,,,,,,,"16 = 1 + 6 = 7 (psychology, imagination, inner work)",,,,,,
,,,,,,Aquarius,,,,,,,,,,"17 = 1 + 7 = 8 (action, movement, swiftness)",,,,,,
,,,,,,Pisces,,,,,,,,,,"18 = 1 + 8 = 9 (fullness, readiness, ripeness)",,,,,,
,,,,,,The Sun,,,,,,,,,,"19 = 1 + 9 = 10 (completion, exhaustion) 1 + 0 = 1 (starting point, opportunity)",,,,,,
,,,,,,Fire,,,,,,,,,,"20 = 2 + 0 = 2 (division, duality)",,,,,,
,,,,,,Saturn,,,,,,,,,,"21 = 2 + 1 = 3 (expression, result)",,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Water.,,,,,,,,,,,,,,,,
,,,,,,Air of Water.,,,,,,,,,,,,,,,,
,,,,,,Water of Water.,,,,,,,,,,,,,,,,
,,,,,,Fire of Water.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Air.,,,,,,,,,,,,,,,,
,,,,,,Air of Air.,,,,,,,,,,,,,,,,
,,,,,,Water of Air.,,,,,,,,,,,,,,,,
,,,,,,Fire of Air.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: division, debate, duality)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Fire.,,,,,,,,,,,,,,,,
,,,,,,Air of Fire.,,,,,,,,,,,,,,,,
,,,,,,Water of Fire.,,,,,,,,,,,,,,,,
,,,,,,Fire of Fire,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Earth.,,,,,,,,,,,,,,,,
,,,,,,Air of Earth.,,,,,,,,,,,,,,,,
,,,,,,Water of Earth.,,,,,,,,,,,,,,,,
,,,,,,Fire of Earth.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Elemental,,,,,,,,,,Numerology,,,,,,
,,,,,,Air,,,,,,,,,,0 (off the scale; pure potential),,,,,,
,,,,,,The Sun/Mercury,,,,,,,,,,"1 (origins, unity, seeds)",,,,,,
,,,,,,The Moon,,,,,,,,,,"2 (division, debate, duality)",,,,,,
,,,,,,Venus,,,,,,,,,,"3 (expression, productivity, output)",,,,,,
,,,,,,Mars/Aries,,,,,,,,,,"4 (stability, equality, persistence)",,,,,,
,,,,,,Taurus/Earth,,,,,,,,,,"5 (instability, resistance, confrontation, evolution)",,,,,,
,,,,,,Gemini,,,,,,,,,,"6 (cooperation, collaboration, interaction)",,,,,,
,,,,,,Cancer,,,,,,,,,,"7 (imagination, inner work, psychology)",,,,,,
,,,,,,Libra or Leo,,,,,,,,,,"8 (movement, work) or 11 = 1 + 1 = 2 (debate, duality)",,,,,,
,,,,,,Virgo,,,,,,,,,,"9 (fullness, readiness, ripeness)",,,,,,
,,,,,,Jupiter,,,,,,,,,,"10 (finality, completion) and 10 = 1 + 0 = 1 (seed, opportunity)",,,,,,
,,,,,,Leo or Libra,,,,,,,,,,"11 = 1 + 1 = 2 (debate, duality) or 8 (movement, outer work)",,,,,,
,,,,,,Water,,,,,,,,,,"12 = 1 + 2 = 3 (expression, productivity, output)",,,,,,
,,,,,,Scorpio,,,,,,,,,,"13 = 1 + 3 = 4 (stability, persistence)",,,,,,
,,,,,,Sagittarius,,,,,,,,,,"14 = 1 + 4 = 5 (catalyst, instability, confrontation)",,,,,,
,,,,,,Capricorn,,,,,,,,,,"15 = 1 + 5 = 6 (adjustment, collaboration)",,,,,,
,,,,,,Mars,,,,,,,,,,"16 = 1 + 6 = 7 (psychology, imagination, inner work)",,,,,,
,,,,,,Aquarius,,,,,,,,,,"17 = 1 + 7 = 8 (action, movement, swiftness)",,,,,,
,,,,,,Pisces,,,,,,,,,,"18 = 1 + 8 = 9 (fullness, readiness, ripeness)",,,,,,
,,,,,,The Sun,,,,,,,,,,"19 = 1 + 9 = 10 (completion, exhaustion) 1 + 0 = 1 (starting point, opportunity)",,,,,,
,,,,,,Fire,,,,,,,,,,"20 = 2 + 0 = 2 (division, duality)",,,,,,
,,,,,,Saturn,,,,,,,,,,"21 = 2 + 1 = 3 (expression, result)",,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
,,,,,,,,,,,,,,,,"3 (The Result: expression, productivity, output)",,,,,,
,,,,,,,,,,,,,,,,"4 (The Status Quo: stability, equality, persistence)",,,,,,
,,,,,,,,,,,,,,,,"5 (The Catalyst: instability, resistance, confrontation)",,,,,,
,,,,,,,,,,,,,,,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,,,,
,,,,,,,,,,,,,,,,"7 (The Motive: imagination, inner work, psychology)",,,,,,
,,,,,,,,,,,,,,,,"8 (The Action: movement, outer work, swiftness)",,,,,,
,,,,,,,,,,,,,,,,"9 (The Completion: fullness, readiness, ripeness)",,,,,,
,,,,,,,,,,,,,,,,"10 (The End: finality, completion, exhaustion)",,,,,,
,,,,,,Earth of Water.,,,,,,,,,,,,,,,,
,,,,,,Air of Water.,,,,,,,,,,,,,,,,
,,,,,,Water of Water.,,,,,,,,,,,,,,,,
,,,,,,Fire of Water.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"1 (The Origin: the starting point, the seed, opportunity)",,,,,,
,,,,,,,,,,,,,,,,"2 (The Other: duality, division, debate)",,,,,,
